State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Total","Total","TOTAL","Monthly","Saudi Arabia","Mar-2014",224754.298,
"Total","Total","TOTAL","Monthly","Saudi Arabia","Apr-2014",150595.29,
"Total","Total","TOTAL","Monthly","Saudi Arabia","May-2014",252426.179,
"Total","Total","TOTAL","Monthly","Seychelles","Aug-2013",614.329,
"Total","Total","TOTAL","Monthly","Seychelles","Sep-2013",497.895,
"Total","Total","TOTAL","Monthly","Seychelles","Oct-2013",476.533,
"Total","Total","TOTAL","Monthly","Seychelles","Nov-2013",555.237,
"Total","Total","TOTAL","Monthly","Seychelles","Dec-2013",112.298,
"Total","Total","TOTAL","Monthly","Seychelles","Jan-2014",402.176,
"Total","Total","TOTAL","Monthly","Seychelles","Feb-2014",317.758,
"Total","Total","TOTAL","Monthly","Seychelles","Mar-2014",527.369,
"Total","Total","TOTAL","Monthly","Seychelles","Apr-2014",1106.689,
"Total","Total","TOTAL","Monthly","Seychelles","May-2014",695.212,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","Aug-2013",149357.124,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","Sep-2013",145881.043,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","Oct-2013",145346.325,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","Nov-2013",139895.256,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","Dec-2013",145160.45,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","Jan-2014",144808.634,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","Feb-2014",148081.394,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","Mar-2014",147844.352,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","Apr-2014",152800.862,
"Total","Total","TOTAL","Monthly","Ship & Aircraft Stores","May-2014",150314.955,
"Total","Total","TOTAL","Monthly","Solomon Islands","Aug-2013",12582.187,
"Total","Total","TOTAL","Monthly","Solomon Islands","Sep-2013",13056.742,
"Total","Total","TOTAL","Monthly","Solomon Islands","Oct-2013",12871.139,
"Total","Total","TOTAL","Monthly","Solomon Islands","Nov-2013",12659.989,
"Total","Total","TOTAL","Monthly","Solomon Islands","Dec-2013",12916.489,
"Total","Total","TOTAL","Monthly","Solomon Islands","Jan-2014",16508.015,
"Total","Total","TOTAL","Monthly","Solomon Islands","Feb-2014",12016.055,
"Total","Total","TOTAL","Monthly","Solomon Islands","Mar-2014",10048.325,
"Total","Total","TOTAL","Monthly","Solomon Islands","Apr-2014",6439.075,
"Total","Total","TOTAL","Monthly","Solomon Islands","May-2014",15140.757,
"Total","Total","TOTAL","Monthly","Montenegro","Apr-2014",13.18,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","Aug-2013",281.641,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","Sep-2013",94.647,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","Oct-2013",573.896,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","Nov-2013",203.122,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","Dec-2013",225.308,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","Jan-2014",315.916,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","Feb-2014",627.216,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","Mar-2014",293.065,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","Apr-2014",159.021,
"Total","Total","TOTAL","Monthly","Wallis & Futuna Islands","May-2014",398.843,
"Total","Total","TOTAL","Monthly","Belize","Aug-2013",5.328,
"Total","Total","TOTAL","Monthly","Belize","Oct-2013",9.558,
"Total","Total","TOTAL","Monthly","Belize","Nov-2013",8.416,
"Total","Total","TOTAL","Monthly","Belize","Jan-2014",2.581,
"Total","Total","TOTAL","Monthly","Belize","Feb-2014",8.849,
"Total","Total","TOTAL","Monthly","Belize","Mar-2014",15.605,
"Total","Total","TOTAL","Monthly","Belize","Apr-2014",15.969,
"Total","Total","TOTAL","Monthly","Belize","May-2014",28.058,
"Total","Total","TOTAL","Monthly","Bermuda","Aug-2013",57.005,
"Total","Total","TOTAL","Monthly","Bermuda","Dec-2013",22.109,
"Total","Total","TOTAL","Monthly","Bermuda","Jan-2014",82.102,
"Total","Total","TOTAL","Monthly","Bermuda","Mar-2014",33.574,
"Total","Total","TOTAL","Monthly","Bermuda","Apr-2014",35.738,
"Total","Total","TOTAL","Monthly","Bermuda","May-2014",116.745,
"Total","Total","TOTAL","Monthly","Burkina Faso","Aug-2013",808.5,
"Total","Total","TOTAL","Monthly","Burkina Faso","Sep-2013",566.273,
"Total","Total","TOTAL","Monthly","Burkina Faso","Oct-2013",263.35,
"Total","Total","TOTAL","Monthly","Burkina Faso","Nov-2013",387.085,
"Total","Total","TOTAL","Monthly","Burkina Faso","Dec-2013",427.909,
"Total","Total","TOTAL","Monthly","Burkina Faso","Jan-2014",222.02,
"Total","Total","TOTAL","Monthly","Burkina Faso","Feb-2014",100.073,
"Total","Total","TOTAL","Monthly","Burkina Faso","Mar-2014",902.999,
"Total","Total","TOTAL","Monthly","Burkina Faso","Apr-2014",669.865,
"Total","Total","TOTAL","Monthly","Burkina Faso","May-2014",114.237,
"Total","Total","TOTAL","Monthly","Myanmar","Aug-2013",13171.491,
"Total","Total","TOTAL","Monthly","Myanmar","Sep-2013",7534.471,
"Total","Total","TOTAL","Monthly","Myanmar","Oct-2013",8431.308,
"Total","Total","TOTAL","Monthly","Myanmar","Nov-2013",15828.301,
"Total","Total","TOTAL","Monthly","Myanmar","Dec-2013",13721.317,
"Total","Total","TOTAL","Monthly","Myanmar","Jan-2014",12030.119,
"Total","Total","TOTAL","Monthly","Myanmar","Feb-2014",19109.124,
"Total","Total","TOTAL","Monthly","Myanmar","Mar-2014",11057.957,
"Total","Total","TOTAL","Monthly","Myanmar","Apr-2014",10674.532,
"Total","Total","TOTAL","Monthly","Myanmar","May-2014",12014.894,
"Total","Total","TOTAL","Monthly","China","Aug-2013",8614832.089,
"Total","Total","TOTAL","Monthly","China","Sep-2013",8466711.411,
"Total","Total","TOTAL","Monthly","China","Oct-2013",8973515.319,
"Total","Total","TOTAL","Monthly","China","Nov-2013",8597011.515,
"Total","Total","TOTAL","Monthly","China","Dec-2013",9454489.107,
"Total","Total","TOTAL","Monthly","China","Jan-2014",8140564.385,
"Total","Total","TOTAL","Monthly","China","Feb-2014",7885159.046,
"Total","Total","TOTAL","Monthly","China","Mar-2014",8678328.645,
"Total","Total","TOTAL","Monthly","China","Apr-2014",8567350.496,
"Total","Total","TOTAL","Monthly","China","May-2014",8080700.103,
"Total","Total","TOTAL","Monthly","Djibouti","Aug-2013",137.707,
"Total","Total","TOTAL","Monthly","Djibouti","Sep-2013",208.685,
"Total","Total","TOTAL","Monthly","Djibouti","Oct-2013",283,
"Total","Total","TOTAL","Monthly","Djibouti","Nov-2013",999.235,
"Total","Total","TOTAL","Monthly","Djibouti","Dec-2013",715.688,
"Total","Total","TOTAL","Monthly","Djibouti","Jan-2014",165.5,
"Total","Total","TOTAL","Monthly","Djibouti","Feb-2014",257.937,
"Total","Total","TOTAL","Monthly","Djibouti","Mar-2014",208.838,
"Total","Total","TOTAL","Monthly","Djibouti","May-2014",350.102,
"Total","Total","TOTAL","Monthly","Eritrea","Aug-2013",150.334,
"Total","Total","TOTAL","Monthly","Eritrea","Sep-2013",109.795,
"Total","Total","TOTAL","Monthly","Eritrea","Oct-2013",177.225,
"Total","Total","TOTAL","Monthly","Eritrea","Nov-2013",33.249,
"Total","Total","TOTAL","Monthly","Eritrea","Dec-2013",199.347,
"Total","Total","TOTAL","Monthly","Eritrea","Feb-2014",118.72,
"Total","Total","TOTAL","Monthly","Eritrea","Mar-2014",44.021,
"Total","Total","TOTAL","Monthly","Eritrea","Apr-2014",13.75,
"Total","Total","TOTAL","Monthly","Eritrea","May-2014",128.242,
"Total","Total","TOTAL","Monthly","Ghana","Aug-2013",9164.93,
"Total","Total","TOTAL","Monthly","Ghana","Sep-2013",6319.908,
"Total","Total","TOTAL","Monthly","Ghana","Oct-2013",4017.001,
"Total","Total","TOTAL","Monthly","Ghana","Nov-2013",16018.376,
"Total","Total","TOTAL","Monthly","Ghana","Dec-2013",8078.165,
"Total","Total","TOTAL","Monthly","Ghana","Jan-2014",2127.787,
"Total","Total","TOTAL","Monthly","Ghana","Feb-2014",5578.01,
"Total","Total","TOTAL","Monthly","Ghana","Mar-2014",4564.909,
"Total","Total","TOTAL","Monthly","Ghana","Apr-2014",4191.307,
"Total","Total","TOTAL","Monthly","Ghana","May-2014",3970.115,
"Total","Total","TOTAL","Monthly","Mali","Aug-2013",1717.308,
"Total","Total","TOTAL","Monthly","Mali","Sep-2013",3308.795,
"Total","Total","TOTAL","Monthly","Mali","Oct-2013",944.551,
"Total","Total","TOTAL","Monthly","Mali","Nov-2013",1253.555,
"Total","Total","TOTAL","Monthly","Mali","Dec-2013",1667.927,
"Total","Total","TOTAL","Monthly","Mali","Jan-2014",1594.845,
"Total","Total","TOTAL","Monthly","Mali","Feb-2014",1515.719,
"Total","Total","TOTAL","Monthly","Mali","Mar-2014",876.257,
"Total","Total","TOTAL","Monthly","Mali","Apr-2014",681.102,
"Total","Total","TOTAL","Monthly","Mali","May-2014",1470.287,
"Total","Total","TOTAL","Monthly","Madagascar","Aug-2013",434.506,
"Total","Total","TOTAL","Monthly","Madagascar","Sep-2013",280.684,
"Total","Total","TOTAL","Monthly","Madagascar","Oct-2013",2392.496,
"Total","Total","TOTAL","Monthly","Madagascar","Nov-2013",683.005,
"Total","Total","TOTAL","Monthly","Madagascar","Dec-2013",2140.38,
"Total","Total","TOTAL","Monthly","Madagascar","Jan-2014",3844.842,
"Total","Total","TOTAL","Monthly","Madagascar","Feb-2014",324.875,
"Total","Total","TOTAL","Monthly","Madagascar","Mar-2014",1087.464,
"Total","Total","TOTAL","Monthly","Madagascar","Apr-2014",732.132,
"Total","Total","TOTAL","Monthly","Madagascar","May-2014",1850.592,
"Total","Total","TOTAL","Monthly","Marianas Northern","Aug-2013",19.378,
"Total","Total","TOTAL","Monthly","Marianas Northern","Sep-2013",148.976,
"Total","Total","TOTAL","Monthly","Marianas Northern","Oct-2013",28.563,
"Total","Total","TOTAL","Monthly","Marianas Northern","Nov-2013",53.9,
"Total","Total","TOTAL","Monthly","Marianas Northern","Dec-2013",213.084,
"Total","Total","TOTAL","Monthly","Marianas Northern","Jan-2014",52.363,
"Total","Total","TOTAL","Monthly","Marianas Northern","Feb-2014",41.784,
